,value
total_return,7.360111462251421
cagr,0.43390375002350745
sharpe_ratio,0.803284469728656
sortino_ratio,0.9228714455998885
omega_ratio,1.2242098546029088
calmar_ratio,0.7577648212990972
gain_to_pain_ratio,1.4689199333698062
annualised_vol,0.4486587673215035
annualised_downside_vol,0.47016705532747266
annualised_cvar,-0.6767091711914857
max_drawdown,0.5726100471114921
avg_drawdown_duration,44.85
