,count,mean,std,min,25%,50%,75%,max
pnl_pct,11.0,0.4096948590516782,1.0462243722556905,-0.18502782825628583,-0.13186928788559038,-0.10044690557377656,0.3326940961234387,3.092906937569648
pnl_currency,11.0,321.57363636363635,1203.2903216952484,-456.6000000000005,-432.1949999999998,-292.2199999999999,520.775,3038.99
bars_held,11.0,97.0,198.1665965797465,1.0,2.5,14.0,68.0,654.0
