,trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_position,mfe_pct,mae_pct,max_favourable_close,max_adverse_close,equity_at_entry,equity_at_exit,drawdown_at_exit,return_vs_vwap_entry,return_vs_vwap_exit
1,2,Short,2021-02-23,2021-03-09,1579.33,1871.55,-0.18502782825628583,-292.2199999999999,14,short_exit_signal,1570.01,44.53775879562605,176.31588221818473,1579.33,1843.803823327277,short,1847.2266666666667,62.71108210305825,154.96660201529636,,,flat,0.11275276544775581,-0.15613796051401252,1419.3,1871.55,4.092906937569649,3.3177907723657403,-0.3454324588630171,0.005936267921860416,0.013167487115820498
2,3,Short,2021-09-13,2021-09-18,3283.66,3435.57,-0.04626240231936318,-151.9100000000001,5,short_exit_signal,3273.893333333333,47.39982670365741,258.34054375466076,3283.66,3671.170815631991,short,3449.7233333333334,51.013140349096375,243.76534634434182,3435.57,3069.9219804834875,long,0.0,-0.09137547455919959,3283.66,3613.88,3.3177907723657403,3.147885214855811,-0.3789531570128529,0.0029831963574460385,-0.004102744471295772
3,4,Long,2021-09-18,2021-09-20,3435.57,2978.97,-0.1329037103013475,-456.6000000000005,2,long_exit_signal,3449.7233333333334,51.013140349096375,243.76534634434182,3435.57,3069.9219804834875,long,3078.0699999999997,38.9171718388707,253.4874670009886,,,flat,0.0,-0.1329037103013475,3435.57,2978.97,3.147885214855811,2.7295195901987195,-0.46149258671678317,-0.004102744471295772,-0.032195499127700145
6,7,Short,2024-04-29,2024-05-20,3217.79,3662.68,-0.13825948865525706,-444.8899999999996,21,short_exit_signal,3206.9300000000003,48.58904088621429,182.83980116497244,3217.79,3492.0497017474586,short,3469.4533333333334,70.15121654059176,174.66819247134686,,,flat,0.11631142195023791,-0.12146570270949142,2882.52,3662.68,15.474545251139721,12.883942822280448,-0.3413403947188822,0.0033864162922170316,0.05569369237805
7,8,Long,2024-08-24,2024-08-27,2768.14,2457.6,-0.1121836323307347,-310.5399999999999,3,long_exit_signal,2772.9333333333325,50.12393607288637,148.8339183849021,2768.14,2544.889122422647,long,2516.1966666666663,35.92687170645959,151.3014791150255,,,flat,0.0,-0.1121836323307347,2768.14,2457.6,12.883942822280448,11.438575317735529,-0.4152312217088461,-0.0017286147040436184,-0.02328779281958604
8,9,Short,2024-10-13,2024-10-14,2469.16,2630.19,-0.06521651087819347,-161.03000000000017,1,short_exit_signal,2463.7533333333336,49.760007470227755,97.66890550413315,2469.16,2615.6633582561994,short,2576.0800000000004,60.89462558481232,105.83041225383792,,,flat,0.0,-0.06122371387618397,2469.16,2630.19,11.438575317735529,10.692591346095394,-0.45336780109949903,0.002194483755137755,0.02100478246017201
9,10,Long,2025-01-31,2025-02-02,3301.49,2869.54,-0.13083486546983325,-431.94999999999976,2,long_exit_signal,3317.58,50.09085899864366,189.10297857054618,3301.49,3017.8355321441804,long,2921.9933333333333,35.28624820165251,209.1453743797057,,,flat,0.0,-0.13083486546983325,3301.49,2869.54,10.692591346095394,9.2936275958051,-0.5248863513041251,-0.004849920725348067,-0.017951215950755106
10,11,Long,2025-09-08,2025-09-25,4305.16,3872.72,-0.10044690557377656,-432.4399999999999,17,long_exit_signal,4321.506666666667,50.0291718347992,207.75911815852098,4305.16,3993.5213227622185,long,3950.6733333333336,30.54137431334766,188.0884289059645,,,flat,0.09445641973817476,-0.10044690557377656,4711.81,3872.72,9.2936275958051,8.360111462251421,-0.5726100471114921,-0.0037826313662211453,-0.019731657557108484
