trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_ema,entry_atr,entry_entry_price,entry_stop_level,entry_take_profit_level,entry_position,exit_ema,exit_atr,exit_entry_price,exit_stop_level,exit_take_profit_level,exit_position
1,Long,2025-06-12 17:00:00+00:00,2025-06-12 18:00:00+00:00,2760.86,2734.0,-0.009728852603898885,-26.860000000000277,1,long_exit_signal,-0.009728852603898885,0.0,-0.009728852603898885,0.0,2742.098053097345,31.08071428571397,2760.86,2723.5631428571432,2823.0214285714283,1.0,2741.9547247239407,32.16209183673439,,,,0.0
2,Long,2025-06-16 05:00:00+00:00,2025-06-16 14:00:00+00:00,2606.25,2638.41,0.012339568345323793,32.16000000000013,9,long_exit_signal,0.0,0.012339568345323793,0.012339568345323793,0.0,2586.1835513716264,22.44514957850082,2606.25,2579.315820505799,2651.1402991570017,1.0,2591.692527532722,23.06976754028403,,,,0.0
3,Long,2025-06-17 02:00:00+00:00,2025-06-17 04:00:00+00:00,2607.83,2590.95,-0.0064728145622989786,-16.880000000000145,2,long_exit_signal,-0.0064728145622989786,0.0,-0.0064728145622989786,0.0,2596.43890771898,35.45865203704067,2607.83,2565.2796175555513,2678.747304074081,1.0,2596.5147671709256,33.40791935846875,,,,0.0
4,Long,2025-06-20 07:00:00+00:00,2025-06-20 13:00:00+00:00,2548.6,2535.04,-0.0053205681550655415,-13.560000000000038,6,long_exit_signal,-0.0053205681550655415,0.0015812602997724579,-0.0053205681550655415,0.0,2538.264597557656,18.008256684350574,2548.6,2526.990091978779,2584.616513368701,1.0,2539.294287067024,18.06219093558138,,,,0.0
5,Long,2025-06-23 22:00:00+00:00,2025-06-26 02:00:00+00:00,2405.81,2492.21,0.03591306046612153,86.39999999999984,52,long_exit_signal,-0.006093581787422919,0.03591306046612153,0.03591306046612153,0.0,2353.509020178523,43.099954700221986,2405.81,2354.0900543597336,2492.009909400444,1.0,2400.1242631549926,26.214114628575565,,,,0.0
6,Long,2025-06-26 23:00:00+00:00,2025-06-27 00:00:00+00:00,2414.54,2399.24,-0.006336610700174883,-15.300000000000262,1,long_exit_signal,-0.006336610700174883,0.0,-0.006336610700174883,0.0,2414.212574771374,24.51053092554425,2414.54,2385.127362889347,2463.5610618510887,1.0,2413.9475734479865,24.346207288005377,,,,0.0
7,Long,2025-06-27 01:00:00+00:00,2025-06-27 17:00:00+00:00,2425.29,2403.49,-0.008988615794399912,-21.800000000000164,16,long_exit_signal,-0.008988615794399912,0.014126145739272511,-0.008988615794399912,0.0,2414.1483243604116,26.49219248171927,2425.29,2393.4993690219367,2478.2743849634385,1.0,2419.8906827076057,23.69219748348395,,,,0.0
8,Long,2025-06-27 20:00:00+00:00,2025-06-27 21:00:00+00:00,2425.5,2418.9,-0.0027210884353741083,-6.599999999999899,1,long_exit_signal,-0.0027210884353741083,0.0,-0.0027210884353741083,0.0,2419.400961705572,23.087655929742805,2425.5,2397.7948128843086,2471.6753118594856,1.0,2419.3920951267123,22.36210907761831,,,,0.0
9,Long,2025-06-27 22:00:00+00:00,2025-06-28 00:00:00+00:00,2421.3,2417.1,-0.0017346053772767656,-4.200000000000233,2,long_exit_signal,-0.0017346053772767656,0.00031388097303097773,-0.0017346053772767656,0.0,2419.425863354558,21.169101286359847,2421.3,2395.8970784563685,2463.63820257272,1.0,2419.4304943528473,19.41851080303478,,,,0.0
10,Long,2025-06-28 03:00:00+00:00,2025-06-29 09:00:00+00:00,2419.7,2446.91,0.011245195685415599,27.21000000000012,30,long_exit_signal,0.0,0.011245195685415599,0.011245195685415599,0.0,2419.3628129258555,17.404270493537673,2419.7,2398.8148754077547,2454.5085409870753,1.0,2424.6155525690237,10.295612062755701,,,,0.0
11,Long,2025-06-30 15:00:00+00:00,2025-06-30 19:00:00+00:00,2473.54,2514.78,0.01667246133072453,41.24000000000036,4,long_exit_signal,0.0,0.01667246133072453,0.01667246133072453,0.0,2441.4653221232197,21.652488348399963,2473.54,2447.55701398192,2516.8449766967997,1.0,2444.8422968978803,22.620213705712473,,,,0.0
12,Long,2025-07-02 05:00:00+00:00,2025-07-02 12:00:00+00:00,2443.18,2437.34,-0.0023903273602434716,-5.839999999999645,7,long_exit_signal,-0.0023903273602434716,0.0036509794611940816,-0.0023903273602434716,0.0,2442.497268447845,19.377763284089156,2443.18,2419.9266840590926,2481.935526568178,1.0,2442.962468713638,17.008369193890427,,,,0.0
13,Long,2025-07-02 13:00:00+00:00,2025-07-02 15:00:00+00:00,2448.36,2497.74,0.020168602656472023,49.379999999999846,2,long_exit_signal,0.0,0.020168602656472023,0.020168602656472023,0.0,2443.05800024083,17.377771394326814,2448.36,2427.506674326808,2483.115542788654,1.0,2444.465372461999,19.145374314496095,,,,0.0
14,Long,2025-07-04 22:00:00+00:00,2025-07-04 23:00:00+00:00,2519.16,2506.86,-0.004882579907588114,-12.299999999999672,1,long_exit_signal,-0.004882579907588114,0.0,-0.004882579907588114,0.0,2514.2800698215183,19.513735192559675,2519.16,2495.743517768928,2558.187470385119,1.0,2514.1487411521107,19.314182678805402,,,,0.0
15,Long,2025-07-05 00:00:00+00:00,2025-07-05 01:00:00+00:00,2515.38,2512.95,-0.000966056818452965,-2.430000000000219,1,long_exit_signal,-0.000966056818452965,0.0,-0.000966056818452965,0.0,2514.1705333441087,18.751026773176434,2515.38,2492.8787678721883,2552.882053546353,1.0,2514.1489309840363,18.126667717949562,,,,0.0
16,Long,2025-07-05 02:00:00+00:00,2025-07-05 13:00:00+00:00,2517.79,2513.12,-0.0018548012344159481,-4.67000000000013,11,long_exit_signal,-0.0018548012344159481,0.0033402309167960276,-0.0018548012344159481,0.0,2514.213374683434,18.346905738096027,2517.79,2495.773713114285,2554.483811476192,1.0,2514.860638304616,13.845511545701944,,,,0.0
17,Long,2025-07-05 14:00:00+00:00,2025-07-05 15:00:00+00:00,2517.5,2506.88,-0.0042184707050645365,-10.61999999999997,1,long_exit_signal,-0.0042184707050645365,0.0,-0.0042184707050645365,0.0,2514.9073526709058,13.480832149580362,2517.5,2501.3230014205037,2544.461664299161,1.0,2514.765275632483,13.52505842461033,,,,0.0
18,Long,2025-07-05 21:00:00+00:00,2025-07-06 02:00:00+00:00,2515.47,2512.02,-0.0013715130770789452,-3.449999999999774,5,long_exit_signal,-0.0013715130770789452,0.0014072916790899281,-0.0013715130770789452,0.0,2513.69248119937,14.466933099122576,2515.47,2498.1096802810525,2544.403866198245,1.0,2513.900576357353,12.41366201800686,,,,0.0
19,Long,2025-07-06 06:00:00+00:00,2025-07-06 08:00:00+00:00,2520.36,2511.9,-0.003356663333809462,-8.460000000000017,2,long_exit_signal,-0.003356663333809462,0.0,-0.003356663333809462,0.0,2513.8942774372426,11.63817135819177,2520.36,2506.39419437017,2543.6363427163838,1.0,2513.9112375522172,11.306076324155157,,,,0.0
20,Long,2025-07-06 11:00:00+00:00,2025-07-06 13:00:00+00:00,2514.73,2557.39,0.01696404783018446,42.65999999999976,2,long_exit_signal,0.0,0.01696404783018446,0.01696404783018446,0.0,2513.67233741894,11.122266648749587,2514.73,2501.3832800215005,2536.974533297499,1.0,2514.5385534762913,14.104556447136144,,,,0.0
21,Long,2025-07-07 15:00:00+00:00,2025-07-07 16:00:00+00:00,2532.56,2523.24,-0.003680070758442122,-9.320000000000181,1,long_exit_signal,-0.003680070758442122,0.0,-0.003680070758442122,0.0,2531.600377104009,19.818522864131133,2532.56,2508.7777725630426,2572.1970457282623,1.0,2531.452405827832,20.968628373836054,,,,0.0
22,Long,2025-07-07 17:00:00+00:00,2025-07-08 01:00:00+00:00,2532.26,2525.64,-0.002614265517759007,-6.620000000000423,8,long_exit_signal,-0.002614265517759007,0.00443082463886002,-0.002614265517759007,0.0,2531.4666995299945,21.73658348999064,2532.26,2506.1760998120117,2575.7331669799814,1.0,2532.245667469221,19.204282339709124,,,,0.0
23,Long,2025-07-08 03:00:00+00:00,2025-07-08 11:00:00+00:00,2536.82,2573.88,0.014608840989900784,37.06000000000011,8,long_exit_signal,0.0,0.014608840989900784,0.014608840989900784,0.0,2532.2317776559066,18.465069976585895,2536.82,2514.661916028097,2573.750139953172,1.0,2535.268633128315,16.90394190360218,,,,0.0
24,Long,2025-07-24 00:00:00+00:00,2025-07-24 03:00:00+00:00,3644.9,3640.31,-0.0012592938077862215,-4.589999999999999,3,long_exit_signal,-0.0012592938077862215,0.0011303465115641842,-0.0012592938077862215,0.0,3641.910026615065,43.290333812040124,3644.9,3592.951599425552,3731.4806676240805,1.0,3642.0905400105394,39.015985198634176,,,,0.0
25,Long,2025-07-24 11:00:00+00:00,2025-07-24 13:00:00+00:00,3654.32,3629.25,-0.0068603734757766155,-25.070000000000004,2,long_exit_signal,-0.0068603734757766155,0.0,-0.0068603734757766155,0.0,3637.292589778449,46.985064093900704,3654.32,3597.937923087319,3748.2901281878017,1.0,3637.2266957992215,45.294162407496025,,,,0.0
26,Long,2025-07-24 14:00:00+00:00,2025-07-24 16:00:00+00:00,3733.88,3686.22,-0.012764202384650924,-47.660000000000394,2,long_exit_signal,-0.012764202384650924,0.0,-0.012764202384650924,0.0,3638.9373737496776,51.066722235532,3733.88,3672.599933317362,3836.0134444710643,1.0,3641.3654336259515,52.96635743778012,,,,0.0
27,Long,2025-07-25 08:00:00+00:00,2025-07-25 14:00:00+00:00,3664.1,3627.46,-0.009999727081684395,-36.639999999999795,6,long_exit_signal,-0.009999727081684395,0.016877268633498144,-0.009999727081684395,0.0,3649.472837462223,50.89663980003299,3664.1,3603.0240322399604,3765.893279600066,1.0,3654.527402250276,52.48471264850284,,,,0.0
28,Long,2025-07-25 20:00:00+00:00,2025-07-26 08:00:00+00:00,3683.58,3761.19,0.021069177267766692,77.61000000000003,12,long_exit_signal,0.0,0.021069177267766692,0.021069177267766692,0.0,3653.712470372728,46.165810873898124,3683.58,3628.181026951322,3775.9116217477963,1.0,3669.2516143133985,34.63480805688621,,,,0.0
29,Long,2025-07-29 03:00:00+00:00,2025-07-29 07:00:00+00:00,3790.46,3876.56,0.022714921144135536,86.09999999999998,4,long_exit_signal,-0.003640719068398024,0.022714921144135536,0.022714921144135536,0.0,3767.8559341781333,39.47142988133775,3790.46,3743.094284142395,3869.4028597626757,1.0,3771.617596589822,38.7987562172243,,,,0.0
30,Long,2025-07-29 21:00:00+00:00,2025-07-30 00:00:00+00:00,3779.41,3773.34,-0.0016060707888267967,-6.069999999999883,3,long_exit_signal,-0.0016060707888267967,0.0032121415776538154,-0.0016060707888267967,0.0,3777.650410153035,40.079137803630616,3779.41,3731.3150346356433,3859.568275607261,1.0,3778.035906227544,38.37295399219258,,,,0.0
31,Long,2025-07-30 01:00:00+00:00,2025-07-30 10:00:00+00:00,3790.38,3771.82,-0.00489660667268188,-18.559999999999945,9,long_exit_signal,-0.00489660667268188,0.008484637424216013,-0.00489660667268188,0.0,3778.2543857633395,39.259171564178835,3790.38,3743.2689941229855,3868.8983431283577,1.0,3782.1292089138697,35.97102381543224,,,,0.0
32,Long,2025-07-30 14:00:00+00:00,2025-07-30 18:00:00+00:00,3817.75,3736.4,-0.02130836225525501,-81.34999999999981,4,long_exit_signal,-0.02130836225525501,0.0,-0.02130836225525501,0.0,3781.8608458666513,38.785421209718876,3817.75,3771.2074945483373,3895.3208424194377,1.0,3781.888680904031,41.50775055109283,,,,0.0
33,Long,2025-07-30 23:00:00+00:00,2025-07-31 14:00:00+00:00,3808.67,3766.59,-0.01104847623973726,-42.080000000000105,15,long_exit_signal,-0.01104847623973726,0.016861529090207217,-0.01104847623973726,0.0,3781.0607218940536,42.61985810482039,3808.67,3757.5261702742155,3893.909716209641,1.0,3795.9292871073194,32.41743761547349,,,,0.0
34,Long,2025-07-31 16:00:00+00:00,2025-07-31 17:00:00+00:00,3801.93,3774.17,-0.007301554736673155,-27.759999999999767,1,long_exit_signal,-0.007301554736673155,0.0,-0.007301554736673155,0.0,3795.863039114204,33.044780392933774,3801.93,3762.2762635284794,3868.0195607858673,1.0,3795.4790915192625,33.348724650581374,,,,0.0
35,Long,2025-08-04 13:00:00+00:00,2025-08-04 16:00:00+00:00,3619.62,3683.05,0.01752393897701987,63.43000000000066,3,long_exit_signal,0.0,0.01752393897701987,0.01752393897701987,0.0,3572.864279896742,28.502079766855548,3619.62,3585.4175042797733,3676.624159533711,1.0,3577.208309934431,30.934719113623103,,,,0.0
