trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_ema,entry_position,exit_ema,exit_position
1,Long,2021-10-23 00:00:00+00:00,2021-10-24 00:00:00+00:00,4169.34179034,4083.454081,-0.020599824542807954,-85.8877093400008,1,long_exit_signal,-0.020599824542807954,0.0,-0.020599824542807954,0.0,4158.370683105021,1.0,4157.04472554564,0.0
2,Long,2021-10-25 00:00:00+00:00,2021-10-26 00:00:00+00:00,4220.39091181,4131.37648212,-0.02109151297831413,-89.01442968999963,1,long_exit_signal,-0.02109151297831413,0.0,-0.02109151297831413,0.0,4158.165896983947,1.0,4157.691748048302,0.0
3,Long,2021-10-28 00:00:00+00:00,2021-11-16 00:00:00+00:00,4288.97455463,4212.93865326,-0.017728223938264787,-76.03590137000012,19,long_exit_signal,-0.017728223938264787,0.12143763021810039,-0.017728223938264787,0.0,4155.992041965913,1.0,4269.0351266592725,0.0
4,Long,2021-11-17 00:00:00+00:00,2021-11-18 00:00:00+00:00,4289.75,3997.91886495,-0.06802987005070227,-291.83113505000006,1,long_exit_signal,-0.06802987005070227,0.0,-0.06802987005070227,0.0,4269.401761585657,1.0,4264.596754565557,0.0
5,Long,2021-11-19 00:00:00+00:00,2021-11-21 00:00:00+00:00,4299.22648005,4262.63,-0.008512340584944988,-36.5964800499998,2,long_exit_signal,-0.008512340584944988,0.02730948723097626,-0.008512340584944988,0.0,4265.209670060856,1.0,4267.796691226989,0.0
6,Long,2021-11-23 00:00:00+00:00,2021-11-26 00:00:00+00:00,4341.78507659,4045.92904327,-0.06814156576178643,-295.8560333200004,3,long_exit_signal,-0.06814156576178643,0.042233001662996816,-0.06814156576178643,0.0,4266.013204607001,1.0,4266.742095622337,0.0
7,Long,2021-11-28 00:00:00+00:00,2021-12-03 00:00:00+00:00,4298.34809591,4222.18,-0.017720318180483252,-76.16809590999954,5,long_exit_signal,-0.017720318180483252,0.07751161531264139,-0.017720318180483252,0.0,4264.383711533032,1.0,4282.705323140611,0.0
8,Long,2021-12-06 00:00:00+00:00,2021-12-09 00:00:00+00:00,4355.89,4109.17,-0.05664054877418856,-246.72000000000023,3,long_exit_signal,-0.05664054877418856,0.01956660980878744,-0.05664054877418856,0.0,4279.83350934413,1.0,4280.126059502391,0.0
9,Long,2022-03-26 00:00:00+00:00,2022-04-06 00:00:00+00:00,3147.17,3169.45,0.007079376074377919,22.279999999999955,11,long_exit_signal,0.0,0.11920233098307365,0.007079376074377919,0.0,3146.208270482586,1.0,3188.72070662877,0.0
10,Long,2022-04-07 00:00:00+00:00,2022-04-11 00:00:00+00:00,3228.78,2979.9,-0.07708174604649443,-248.88000000000028,4,long_exit_signal,-0.07708174604649443,0.009529915324054228,-0.07708174604649443,0.0,3189.429720670739,1.0,3187.231849631846,0.0
11,Long,2022-08-10 00:00:00+00:00,2022-08-19 00:00:00+00:00,1854.49,1609.3,-0.13221424758289346,-245.1900000000001,9,long_exit_signal,-0.13221424758289346,0.07004621216614826,-0.13221424758289346,0.0,1801.3103931311175,1.0,1810.9609483578763,0.0
12,Long,2022-09-10 00:00:00+00:00,2022-09-12 00:00:00+00:00,1774.97,1717.04,-0.032637171332473236,-57.93000000000002,2,long_exit_signal,-0.032637171332473236,0.0,-0.032637171332473236,0.0,1742.1639505151327,1.0,1742.1507270966363,0.0
13,Long,2022-10-26 00:00:00+00:00,2022-10-27 00:00:00+00:00,1566.29,1514.01,-0.033378237746522044,-52.28000000000001,1,long_exit_signal,-0.033378237746522044,0.0,-0.033378237746522044,0.0,1525.6569850123792,1.0,1525.4508436847264,0.0
14,Long,2022-10-28 00:00:00+00:00,2022-11-02 00:00:00+00:00,1554.92,1518.67,-0.023313096493710272,-36.24999999999998,5,long_exit_signal,-0.023313096493710272,0.042182234455791834,-0.023313096493710272,0.0,1525.9724216726072,1.0,1530.203804681165,0.0
15,Long,2022-11-03 00:00:00+00:00,2022-11-08 00:00:00+00:00,1531.08,1334.78,-0.12821015231078714,-196.29999999999995,5,long_exit_signal,-0.12821015231078714,0.07456174726336973,-0.12821015231078714,0.0,1530.2193125629142,1.0,1531.5714513204703,0.0
