trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_position
1,Short,2025-05-06 19:00:00+00:00,2025-05-06 22:00:00+00:00,1783.88,1810.32,-0.014821624772966668,-26.43999999999978,3,short_exit_signal,-0.014605152680189026,0.005325653871947722,0.0,-0.014821624772966668,1782.1778231162848,47.82687211670666,15.562910381917023,1783.88,1807.2243655728757,short,1783.3548564733994,59.790948501787035,17.545854267154425,,,flat
2,Long,2025-05-07 22:00:00+00:00,2025-05-15 17:00:00+00:00,1816.01,2570.29,0.4153501357371381,754.2800000000001,187,long_exit_signal,-0.003281920253743076,0.4841933689792457,0.4153501357371381,0.0,1820.5259384278588,52.1048074914823,16.260818004303367,1816.01,1791.618772993545,long,2556.1056145501575,49.84465008066731,41.71593722712726,2570.29,2632.8639058406907,short
3,Short,2025-05-15 17:00:00+00:00,2025-05-16 11:00:00+00:00,2570.29,2619.5,-0.01914569951250633,-49.209999999999894,18,short_exit_signal,-0.02040528540339881,0.018372214650226537,0.0,-0.01914569951250633,2556.1056145501575,49.84465008066731,41.71593722712726,2570.29,2632.8639058406907,short,2589.4210350988997,59.92114096992976,34.29453484166457,,,flat
4,Long,2025-05-16 18:00:00+00:00,2025-05-16 22:00:00+00:00,2585.2,2544.9,-0.015588735881169602,-40.29999999999965,4,long_exit_signal,-0.015588735881169602,0.0021739130434783593,-0.015588735881169602,0.0,2590.5413651817253,50.661787952147705,30.67057348771255,2585.2,2539.194139768431,long,2587.394297140928,40.705692057930946,30.982216508292318,,,flat
5,Long,2025-05-20 19:00:00+00:00,2025-05-24 11:00:00+00:00,2500.29,2562.33,0.024813121677885297,62.03999999999983,88,long_exit_signal,-0.011402677289434338,0.08822976534721971,0.024813121677885297,0.0,2513.9250769929436,50.992496930561316,36.160856283839,2500.29,2446.0487155742417,long,2546.8630399075287,48.2826081600423,25.086433601756653,2562.33,2599.959650402635,short
6,Short,2025-05-24 11:00:00+00:00,2025-05-27 06:00:00+00:00,2562.33,2568.94,-0.002579683335089511,-6.609999999999906,67,short_exit_signal,-0.007395154604829979,0.03434871066186562,0.0,-0.002579683335089511,2546.8630399075287,48.2826081600423,25.086433601756653,2562.33,2599.959650402635,short,2558.3733530266295,57.31883799003848,24.600337052956196,,,flat
7,Long,2025-05-28 07:00:00+00:00,2025-05-30 00:00:00+00:00,2635.0,2572.72,-0.023635673624288533,-62.280000000000285,41,long_exit_signal,-0.023635673624288533,0.05100189753320672,-0.023635673624288533,0.0,2638.840804844682,50.352695883916184,22.854215406947755,2635.0,2600.7186768895785,long,2590.9266666666663,30.28467867196693,34.69244466932902,,,flat
8,Long,2025-06-03 22:00:00+00:00,2025-06-05 14:00:00+00:00,2603.2,2586.56,-0.0063921327596803135,-16.63999999999979,40,long_exit_signal,-0.0063921327596803135,0.02443146896127857,-0.0063921327596803135,0.0,2616.252098113487,51.49603501815789,24.244252652590376,2603.2,2566.833621021114,long,2604.0743208924123,41.8531794723542,25.350127436264856,,,flat
9,Short,2025-06-06 16:00:00+00:00,2025-06-07 22:00:00+00:00,2496.38,2534.21,-0.015153942909332585,-37.82999999999968,30,short_exit_signal,-0.014927728956953046,0.010610605747782609,0.0,-0.015153942909332585,2469.0554327384025,49.74749775871687,30.056301016116603,2496.38,2541.464451524175,short,2499.004755320812,66.77653188707265,15.518688744976233,,,flat
10,Short,2025-06-17 04:00:00+00:00,2025-06-20 05:00:00+00:00,2590.88,2514.67,0.029414716235410365,76.21000000000001,73,short_exit_signal,0.0,0.05306198761954706,0.0,0.029414716235410365,2583.426364481813,47.781847262371514,33.51830286645544,2590.88,2641.157454299683,short,2516.6536246231904,50.12364690710315,17.364222451107015,2514.67,2488.6236663233394,long
