time,open,high,low,close,Volume,VWAP,VWAP,EMA,LUCID Connector,HyperWave,HWO Up,Oversold HWO Up,HWO Down,Overbought HWO Down,Reversal Up +,Reversal Up -,Reversal Down +,Reversal Down -,Money Flow,Bullish Overflow,Bearish Overflow,Upper Money Flow Threshold,Lower Money Flow Threshold,Upper Confluence Value,Lower Confluence Value,Upper Confluence Zone,Lower Confluence Zone,Confluence Meter Value,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,ATR,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-05-05T18:00:00+07:00,1804,1810.2,1798.2,1803.9,278250018.79909,1807.0066546129497,1807.0066546129497,1821.5747533146855,17891332,46.385719510849626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.75984890694719,50,50,59.001014205030025,44.432287419884986,0,1,105,-5,28.571428571428573,NaN,NaN,NaN,13.590765386068933,0.2149712180408212,-4.269722736426729,-4.48469395446755,41.664404612409356,42.233345576652674,NaN,NaN,NaN,NaN
2025-05-05T19:00:00+07:00,1803.9,1808.67,1799.01,1804.77,176247653.24536,1806.8574646362295,1806.8574646362295,1821.2773240524787,1114113,41.01355793253347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.89181943067807,50,50,58.92046823115827,44.1241938220436,0,2,105,-5,28.571428571428573,NaN,NaN,NaN,13.309996429921158,-0.14526470808792347,-4.666274839577454,-4.521010131489531,42.24825625561814,42.48884358959306,NaN,NaN,NaN,NaN
2025-05-05T20:00:00+07:00,1804.76,1808.5,1793.24,1807.89,415289373.47396,1806.457797588964,1806.457797588964,1821.0403802639391,1114113,39.66340137686691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.322315106165576,50,50,58.84247746553331,43.963818078867995,0,2,105,-5,28.571428571428573,NaN,NaN,NaN,13.449282399212503,-0.12311029412424102,-4.674897999144832,-4.551787705020591,44.397488299437455,43.26709846599324,NaN,NaN,NaN,NaN
2025-05-05T21:00:00+07:00,1807.89,1814.99,1798.33,1803.61,351248838.42589,1806.3887177030083,1806.3887177030083,1820.7318779583827,1114113,38.43748721474886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.525011002030176,50,50,58.76589013321579,43.87605666350043,0,2,105,-5,28.571428571428573,NaN,NaN,NaN,13.67861937069733,-0.3344125130987061,-4.969803346393974,-4.635390833295268,42.0837890857684,43.39261677374691,NaN,NaN,NaN,NaN
2025-05-05T22:00:00+07:00,1803.6,1807.34,1794.4,1800.37,229026744.8734,1806.0907745358977,1806.0907745358977,1820.3714907378803,1114113,35.028501615456626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.566193530826155,50,50,58.68989165020384,43.814084036965575,0,2,105,-5,28.571428571428573,NaN,NaN,NaN,13.625860844218936,-0.6138314511807561,-5.402680147271212,-4.788848696090456,40.36872840052142,44.17933612461617,NaN,NaN,NaN,NaN
2025-05-05T23:00:00+07:00,1800.37,1811.33,1799.72,1807.19,215554038.82057,1806.090268089809,1806.090268089809,1820.1381900168558,1114113,35.27283947792901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.6897402041901,50,50,58.61489089297377,43.78921527041048,0,2,105,-5,28.571428571428573,NaN,NaN,NaN,13.481870783917575,-0.27789228265909127,-5.1362140494143205,-4.858321766755229,45.4117186167624,44.904333415503274,NaN,NaN,NaN,NaN
2025-05-06T00:00:00+07:00,1807.19,1816.79,1804.25,1813.58,164915579.46545002,1806.279446516696,1806.279446516696,1820.0221158572654,2148597764,44.0664597299391,38.12260027444158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.73624635772489,50,50,58.54549767029752,43.79395042584705,0,1,105,-5,42.857142857142854,NaN,NaN,NaN,13.414594299352032,0.3993227165698876,-4.35916837104287,-4.758491087612757,49.70364017836807,46.06857694620701,NaN,NaN,NaN,NaN
2025-05-06T01:00:00+07:00,1813.58,1828,1811.17,1821.79,223184540.58642,1806.9094535111212,1806.9094535111212,1820.0534058420926,35717132,56.05508528752986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.391264069321174,50,50,58.48472650229264,43.80693699406442,1,1,105,-5,57.142857142857146,NaN,NaN,NaN,13.65855184939831,1.3701800764725274,-3.0457659920220976,-4.415946068494625,54.638417233320595,47.05657574324381,NaN,NaN,NaN,NaN
2025-05-06T02:00:00+07:00,1821.79,1825.63,1812.34,1815.61,166613705.87562,1807.264376615451,1807.264376615451,1819.9747614909052,2162700,62.86073614091045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.38332649921372,50,50,58.42921950227724,43.824818941590166,1,1,105,-5,57.142857142857146,NaN,NaN,NaN,13.632226717298442,1.5527337322863257,-2.4750289031367174,-4.027762635423043,50.612895572586176,47.25413486810237,NaN,NaN,NaN,NaN
2025-05-06T03:00:00+07:00,1815.62,1815.85,1798.12,1808.07,203930656.16439003,1807.267516558585,1807.267516558585,1819.7640577477032,1075904524,58.15310520183183,NaN,NaN,59.022975543424046,NaN,NaN,NaN,NaN,NaN,47.92774656746873,50,50,58.3767121376032,43.84533357971956,1,1,105,-5,42.857142857142854,NaN,NaN,NaN,13.924924808919982,1.1412931170107852,-2.6011462391595614,-3.7424393561703466,46.14581362565052,46.99009926819131,NaN,NaN,NaN,NaN
