time,ret_1d,ret_5d,ret_20d,momentum_20d,momentum_60d,volatility_20d,volatility_60d,volume_change,volume_zscore_20d,price_ema_spread,high_low_range,target,future_return
2025-05-07 23:00:00+00:00,-0.003281920253743076,0.0023979354495713423,-0.008599205805833288,-0.00042377653892580747,7.052126990163739e-05,0.0040901541312651155,0.005307458157921882,-0.3852107744214984,-0.48645913778476213,0.0017836937542672303,0.009701389464379408,1,0.045910333968675054
2025-05-08 00:00:00+00:00,0.008756664180547657,0.01710682434728361,-0.0011050811851721631,-4.537096237822724e-05,0.00020842753332431612,0.004569204274366873,0.005424545676599116,0.01497349974600204,-0.48254876469392605,0.002196798111407517,0.01109589791335779,1,0.038402979352647915
2025-05-08 01:00:00+00:00,-0.00209759570622714,0.013668984700973441,-0.0030531009766641137,-0.00014286530412531694,0.0001446550692178324,0.0045922473384651784,0.005428859468654539,1.2333442425078522,1.0271926804262503,0.00241919320731763,0.009604460860449929,1,0.048461365370155995
2025-05-08 02:00:00+00:00,0.010147798931984031,0.021568518621302157,0.00585843571022604,0.0003046116394372023,0.0003532417292759179,0.005133893657330768,0.005569317202623842,0.1455036294497296,1.3066525627227354,0.0032428780332259904,0.01348502629634468,1,0.04738775155387498
2025-05-08 03:00:00+00:00,0.032370582866084296,0.04632683740728316,0.03423050755204793,0.0017206640634654159,0.0009226913974700601,0.008810515226564425,0.006927044962039975,1.6931488212801695,3.5890466050896164,0.005999665354947959,0.036449945793467844,1,0.017825002368246468
2025-05-08 04:00:00+00:00,-0.0036786763080615126,0.045910333968675054,0.029014496377264498,0.0014681494887753665,0.0007982449553059045,0.00889303145790032,0.006941750264279682,-0.32446824587681167,1.72214339851026,0.00814563045161212,0.01304175580381906,1,0.024799936613580487
2025-05-08 05:00:00+00:00,0.0015159918654095161,0.038402979352647915,0.028762730533203884,0.0014558945969743331,0.0007645802174094052,0.008892775402983444,0.006933141294571759,-0.6632000746440181,-0.32786025769031146,0.010089822175339722,0.006640225314078922,1,0.033749643991097145
2025-05-08 06:00:00+00:00,0.007568485564498184,0.048461365370155995,0.042317534277966695,0.0021110401083992815,0.0008152723479841306,0.008833138934040941,0.006972125987462476,-0.08931552247158658,-0.41205276413507,0.012242400754654917,0.008480032663829426,1,0.02423090814868334
2025-05-08 07:00:00+00:00,0.009113417819584635,0.04738775155387498,0.05012637817579635,0.002486233481250605,0.0010237004457116505,0.008969037164300945,0.0070308897044347824,1.624067067417819,1.0157802264218059,0.014671209203299333,0.019301995040927927,1,0.016137733558808653
2025-05-08 08:00:00+00:00,0.0032316965628857997,0.017825002368246468,0.05691692260610104,0.002808514696722214,0.0011467766257699686,0.008868677878632322,0.007003317190681233,-0.3251560956467877,0.16615681964072412,0.016951284064645654,0.011349475959276345,1,0.02118913552670354
2025-05-08 09:00:00+00:00,0.0031488978857399097,0.024799936613580487,0.061230964467005045,0.0030124112321183614,0.0011279114619974532,0.008824996264499771,0.006996252790915925,-0.30914509105505905,-0.3507606308070471,0.019088554027208774,0.007087263543116335,1,0.024890469563424666
2025-05-08 10:00:00+00:00,0.010262357610432593,0.033749643991097145,0.07598855944531979,0.0037052179801351838,0.0012111111687637584,0.008822969405285578,0.007075582748783725,1.1248105566817679,0.8791271823465705,0.021558079813653416,0.015275432268202742,1,0.046224253957888095
2025-05-08 11:00:00+00:00,-0.0017091749531890077,0.02423090814868334,0.07702300286779007,0.003753159174284809,0.0012369515072498801,0.008789056546255392,0.007061796471049967,-0.36983805298257666,-0.055539813566764844,0.023525610864459156,0.008407183670131662,1,0.04759641429783401
2025-05-08 12:00:00+00:00,0.0011396972391728433,0.016137733558808653,0.08157248157248165,0.003963716663986705,0.0013101758993934657,0.008666544729425296,0.00703717778306859,0.7012838884637076,0.9549997617334102,0.025236760010505344,0.012338620341111585,1,0.04411682126102012
2025-05-08 13:00:00+00:00,0.00821894031824133,0.02118913552670354,0.10001559523676917,0.004808918159097069,0.001537774409617045,0.008178592952265862,0.007036092637967126,0.03454151524877247,0.9552906156661459,0.027180689011713773,0.012810191444007288,1,0.04642555152177974
2025-05-08 14:00:00+00:00,0.006784844480225205,0.024890469563424666,0.10116186341182476,0.00486131942110501,0.0016587095942589133,0.008188202802181691,0.007063282182772273,0.595124575712537,2.1206976976027008,0.029228306824115,0.021157821151786084,1,0.06484140435226493
2025-05-08 15:00:00+00:00,0.03129164801673712,0.046224253957888095,0.1422802043237763,0.0067174752663296975,0.0021549985433434284,0.009704060178153293,0.008032581303847897,1.275850781952831,3.5498073005268362,0.032968996695862424,0.04398691121178578,1,0.06540492828963074
2025-05-08 16:00:00+00:00,-0.0003998810110162898,0.04759641429783401,0.1403560500695411,0.006633142622092419,0.0021432568648905637,0.009760901802669517,0.008035846192151544,-0.687551033767388,0.3332763751515354,0.03608013567035008,0.014625888505651807,1,0.06327477448909402
2025-05-08 17:00:00+00:00,-0.0021855897433396,0.04411682126102012,0.13521118943220278,0.006407034205857293,0.002178348057568898,0.009916801144057876,0.008011833617082959,-0.5354447226348427,-0.4770999323795047,0.03851512777673117,0.010653641746238939,1,0.06536906385829067
2025-05-08 18:00:00+00:00,0.010448293901657912,0.04642555152177974,0.1380333808734533,0.00653232396338122,0.0022858503918843326,0.009952984561049007,0.008079652306893285,0.25876513394497813,-0.3197521967218726,0.04119723033680213,0.01470474384036237,1,0.067683434300424
