trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_position
1,Short,2025-06-13 14:00:00+00:00,2025-06-15 03:00:00+00:00,2537.0,2529.05,0.0031336223886478942,7.949999999999708,37,short_exit_signal,-0.01593815576647839,0.016247135921552358,0.0,0.0031336223886478942,2521.8316290795465,49.67285266572522,37.54199521101121,2537.0,2593.3129928165167,short,2531.6735923807328,50.08306348421519,19.06534964896798,2529.05,2500.4519755265483,long
2,Long,2025-06-15 03:00:00+00:00,2025-06-15 20:00:00+00:00,2529.05,2502.08,-0.010664083351456188,-26.970000000000276,17,long_exit_signal,-0.010664083351456188,0.009276210434748133,-0.010664083351456188,0.0,2531.6735923807328,50.08306348421519,19.06534964896798,2529.05,2500.4519755265483,long,2532.4005734025222,38.34717433691536,19.49393498363058,,,flat
3,Short,2025-06-17 04:00:00+00:00,2025-06-20 05:00:00+00:00,2590.95,2514.69,0.02943321947548183,76.25999999999965,73,short_exit_signal,0.0,0.05312468245097035,0.0,0.02943321947548183,2581.899569588495,47.81225398586187,33.40791935846875,2590.95,2641.061879037703,short,2516.992473322406,50.07950364044137,17.366735562915487,2514.69,2488.6398966556267,long
4,Long,2025-06-20 05:00:00+00:00,2025-06-20 14:00:00+00:00,2514.69,2488.74,-0.010319363420540961,-25.950000000000152,9,long_exit_signal,-0.010319363420540961,0.015087346750494168,-0.010319363420540961,0.0,2516.992473322406,50.07950364044137,17.366735562915487,2514.69,2488.6398966556267,long,2531.651784177728,35.944943656469206,20.471320154468422,,,flat
5,Long,2025-06-25 10:00:00+00:00,2025-06-25 14:00:00+00:00,2424.97,2431.45,0.0026721980065733675,6.480000000000218,4,long_exit_signal,0.0,0.003604168298989352,0.0026721980065733675,0.0,2437.3760994756085,50.147002987286946,24.235943281458177,2424.97,2388.6160850778124,long,2431.859776831537,52.46173075623542,25.453292796275697,,,flat
6,Long,2025-06-26 20:00:00+00:00,2025-06-26 21:00:00+00:00,2444.41,2412.8,-0.012931545853600568,-31.60999999999976,1,long_exit_signal,-0.012931545853600568,0.0,-0.012931545853600568,0.0,2455.683238649568,50.935809118700156,24.37196944000612,2444.41,2407.8520458399908,long,2453.312069000507,40.6645759303303,26.37682876571997,,,flat
7,Short,2025-06-28 08:00:00+00:00,2025-06-28 17:00:00+00:00,2423.27,2443.13,-0.008195537434953604,-19.860000000000017,9,short_exit_signal,-0.008128916594696167,0.0006111182224717293,0.0,-0.008195537434953604,2420.5765401680933,48.93076547823579,14.827618615675535,2423.27,2445.511427923513,short,2426.032638029306,61.343300706498724,12.777172528348288,,,flat
8,Long,2025-06-29 02:00:00+00:00,2025-06-29 21:00:00+00:00,2431.05,2430.15,-0.0003702104029124076,-0.9000000000002085,19,long_exit_signal,-0.0017276485469243097,0.012245737438555393,-0.0003702104029124076,0.0,2432.2006269322105,50.44272716608134,11.131386522007372,2431.05,2414.3529202169893,long,2440.5730717496263,43.35487682913547,11.77836042397793,,,flat
9,Long,2025-06-30 07:00:00+00:00,2025-06-30 09:00:00+00:00,2479.63,2450.53,-0.011735621846807764,-29.099999999999937,2,long_exit_signal,-0.011735621846807764,0.0,-0.011735621846807764,0.0,2491.5520904507716,54.54415543226358,18.864126699681,2479.63,2451.3338099504786,long,2486.0664350787897,44.738563278622415,19.522078633908617,,,flat
10,Short,2025-07-02 12:00:00+00:00,2025-07-02 14:00:00+00:00,2437.34,2468.34,-0.012718783591948668,-31.000000000000167,2,short_exit_signal,-0.012559047781099841,0.0,0.0,-0.012718783591948668,2431.006074754637,49.725148106889435,17.008369193890427,2437.34,2462.852553790836,short,2436.1062770784097,62.75199306834253,17.885787723303487,,,flat
